URL,開講年度,開講場所,科目名,担当教員,学期曜日時限,科目区分,配当年次,単位数,使用教室,キャンパス,科目キー,科目クラスコード,授業で使用する言語,授業方法区分,大分野名称,中分野名称,小分野名称,レベル,授業形態,教科書,成績評価方法,学期,曜日リスト,時限リスト,科目区分リスト,授業方法
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001086012025260602305526,2025年度,基幹理工学部,映像制作実習I,是枝　裕和／篠崎　誠／土田　環,春学期  火５-７,特論科目 選択必修,３年以上,4,,西早稲田（旧大久保）,2600001086,1,日本語,【対面】,複合領域,表現（美術／映像／演劇／音楽／芸能／文学／メディア論）,映像,中級レベル（発展・応用）,実習／実験／実技,,,春学期,['春学期'],[],"['特論科目', '選択必修']",対面
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001087012025260602305626,2025年度,基幹理工学部,映像制作実習II,是枝　裕和／篠崎　誠／高木　創／土田　環,秋学期  火５-７,特論科目 選択必修,３年以上,4,,西早稲田（旧大久保）,2600001087,1,日本語,【対面】,複合領域,表現（美術／映像／演劇／音楽／芸能／文学／メディア論）,映像,中級レベル（発展・応用）,実習／実験／実技,,,秋学期,['秋学期'],[],"['特論科目', '選択必修']",対面
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023055012025260602305526,2025年度,基幹理工学部,映像制作実習I,是枝　裕和／篠崎　誠／土田　環,春学期  火５-７,専門選択,３年以上,4,,西早稲田（旧大久保）,2606023055,1,日本語,【対面】,複合領域,表現（美術／映像／演劇／音楽／芸能／文学／メディア論）,映像,中級レベル（発展・応用）,実習／実験／実技,,,春学期,['春学期'],[],['専門選択'],対面
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023056012025260602305626,2025年度,基幹理工学部,映像制作実習II,是枝　裕和／篠崎　誠／高木　創／土田　環,秋学期  火５-７,専門選択,３年以上,4,,西早稲田（旧大久保）,2606023056,1,日本語,【対面】,複合領域,表現（美術／映像／演劇／音楽／芸能／文学／メディア論）,映像,中級レベル（発展・応用）,実習／実験／実技,,,秋学期,['秋学期'],[],['専門選択'],対面
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001002012024260000100226,2024年度,基幹理工学部,日常生活とリスク,安部　竜一郎／石倉　義博／菅野　摂子／吉川　忠寛,春学期  水２時限,綜合科目 選択必修,１年以上,2,５６-１０２教室,西早稲田（旧大久保）,2600001002,1,日本語,【対面】ハイブリッド（対面回数半数以上）,総合／学際,総合／学際,総合／学際,初級レベル（入門・導入）,講義,特になし。,授業担当教員3名が、それぞれ理解度確認のための課題または試験を課し、それらを総合して最終的な成績評価を行なう。各教員の評価方法については、授業内やWaseda Moodleで指示するので、必ず確認すること。,春学期,['春学期'],[],"['綜合科目', '選択必修']",対面のハイブリッド
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001004012024260000100426,2024年度,基幹理工学部,国際保健医療論,潮見　泰藏／内藤　順子／吉永　真理,秋学期  金２時限,綜合科目 選択必修,１年以上,2,６１-２１０教室,西早稲田（旧大久保）,2600001004,1,日本語,【対面】ハイブリッド（対面回数半数以上）,国際関係論,国際公共政策,その他,初級レベル（入門・導入）,講義,特になし。,毎回のリアクションペーパーおよび期末レポート（各教員による出題）で評価する。,秋学期,['秋学期'],[],"['綜合科目', '選択必修']",対面のハイブリッド
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001005012024260000100526,2024年度,基幹理工学部,開発協力論,関根　久雄／内藤　順子／三井　久明／箕曲　在弘,春学期  金４時限,綜合科目 選択必修,１年以上,2,５７-２０１室,西早稲田（旧大久保）,2600001005,1,日本語,【対面】ハイブリッド（対面回数半数以上）,国際関係論,国際公共政策,開発研究,初級レベル（入門・導入）,講義,特になし。,出席および期末レポート（各担当教員による出題）により評価する。,春学期,['春学期'],[],"['綜合科目', '選択必修']",対面のハイブリッド
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001006012024260000100626,2024年度,基幹理工学部,現代経済の構造と変容,太田　愛之／篠崎　武久／松原　光代／李　綱,春学期  火４時限,綜合科目 選択必修,１年以上,2,５２-３０２教室,西早稲田（旧大久保）,2600001006,1,日本語,【対面】,経済学,経済学一般,経済学一般,初級レベル（入門・導入）,講義,・太田愛之担当部分太田愛之・川口浩・藤井信幸 (2006). 日本経済の二千年 (改訂版). 勁草書房.同書は紙書籍版が版元品切れとなっているため、受講者には授業で使用する第 20・21・23 章のみの PDF ファイルを Moodle 経由で提供する。全体を閲覧したい場合は中央図書館等に紙書籍版がある。また、図書館の検索システム (WINE) からオンライン版にアクセスすることもできるので利用されたい。,割合評価基準レポート:75％・担当教員ごとの最終レポートなどの内容に基づき評価する。・詳細については、各担当教員からの指示をよく確認すること。平常点評価:25％・授業への出席状況、授業中の教員からの問いかけに対する回答、授業後に提出するリアクションペーパー、Moodle 上に掲載する授業資料や動画などの閲覧状況などの内容に基づき評価する。・詳細については、各担当教員からの指示をよく確認すること。,春学期,['春学期'],[],"['綜合科目', '選択必修']",対面
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001007012024260000100726,2024年度,基幹理工学部,企業行動と経営,小松原　聡／篠崎　武久／嶋根　政充,秋学期  金４時限,綜合科目 選択必修,１年以上,2,５６-１０１教室,西早稲田（旧大久保）,2600001007,1,日本語,【対面】,経営学,経営学,概論,初級レベル（入門・導入）,講義,・特に指定しない。,割合評価基準レポート:75％・担当教員ごとの授業中や授業後のレポート、最終レポートなどの内容に基づき評価する。小松原聡担当部分課題テーマを提示し、小松原が担当する授業終了後に回収する。嶋根政充担当部分教員と各企業家と相談した課題の提出を求める。篠崎武久担当部分授業中に提示する課題に対して授業内での提出を求める。・詳細については、各担当教員からの指示をよく確認すること。平常点評価:25％・授業への出席状況、授業中の教員からの問いかけに対する回答、Moodle 上に掲載する授業資料などの閲覧状況などの内容に基づき評価する。・詳細については、各担当教員からの指示をよく確認すること。,秋学期,['秋学期'],[],"['綜合科目', '選択必修']",対面
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001011012024260000101126,2024年度,基幹理工学部,変革期の社会と心理,伊藤　圭子／河合　慎一郎／膳場　百合子／谷辺　哲史,春学期  月５時限,綜合科目 選択必修,１年以上,2,６１-1０２B教室,西早稲田（旧大久保）,2600001011,1,日本語,【対面】ハイブリッド（対面回数半数以上）,心理学,心理学,社会心理学・産業心理学,初級レベル（入門・導入）,講義,特に指定しない,谷辺：①平常点（各回終了後のリアクションシート 記述式２５％）②最終レポート（記述式７５％）　講義で取り上げたテーマの中から一つを選択し、ロボット、人工知能やその他の科学技術と社会の関係を論じる伊藤：①小レポート1回（20％）②レポート1回（30％）③平常点5回分（リアクションペーパー）（50％）で3合計100％河合：①	平常点（各回終了後のリアクションシート 記述式２０％）「授業で最も印象に残った事とその理由」②	最終レポート（記述式 ７０％）講義に関連したテーマの中から一つを選択し「これからの暮らし方・住まいのあり方・人との繋がりを論じる」③	 第１５回ワークショップで作成した成果物（記述式１０％）,春学期,['春学期'],[],"['綜合科目', '選択必修']",対面のハイブリッド
